id,animal_type,category,user_input,severity,vet_response,possible_diagnosis,recommended_treatment
1,dog,injury,"My dog is limping and won't put weight on its leg",high,"Possible injury. Limit movement and avoid walking muna. Bring your dog to the clinic ASAP for X-ray.","Sprain or fracture","Immobilization, pain relief meds, possible surgery"
2,cat,injury,"My cat fell from a high place and is not moving much",high,"This is serious. Keep your cat warm and still. Dalhin agad sa vet for emergency check.","Internal injury or fracture","Emergency care, imaging, surgery if needed"
3,bird,injury,"My bird broke its wing and cannot fly",high,"Do not force movement. I-place muna sa cage to prevent stress. Visit vet immediately.","Wing fracture","Wing splinting, rest, supportive care"
4,fish,behavior,"My fish keeps flipping upside down",medium,"Check water quality agad. Possible swim bladder issue. Change water and observe.","Swim bladder disorder","Water treatment, diet adjustment"
5,dog,digestion,"My dog is vomiting and has diarrhea",high,"Possible infection or food poisoning. Stop feeding muna for a few hours and provide water. Vet visit recommended.","Gastroenteritis","Fluid therapy, antibiotics, diet control"
6,cat,digestion,"My cat has not eaten for two days",high,"This is dangerous for cats. Kailangan na ng vet check immediately.","Anorexia or underlying illness","Appetite stimulants, lab tests"
7,dog,skin,"My dog keeps scratching and losing fur",medium,"Possible allergy or parasites. Check for fleas/ticks. Vet consultation advised.","Allergic dermatitis","Anti-allergy meds, parasite control"
8,cat,eyes,"My cat has discharge coming from its eyes",medium,"Clean gently with saline. If tuloy-tuloy, consult vet.","Eye infection","Eye drops, antibiotics"
9,bird,respiratory,"My bird is breathing with its beak open",high,"This is emergency. Birds should not breathe like this. Dalhin agad sa vet.","Respiratory infection","Oxygen support, antibiotics"
10,dog,poisoning,"My dog ate chocolate",high,"Chocolate is toxic. Go to vet immediately. Do not wait.","Chocolate poisoning","Induced vomiting, activated charcoal"
11,cat,urinary,"My cat is having difficulty urinating",high,"Emergency ito. Possible blockage. Bring to vet ASAP.","Urinary blockage","Catheterization, medication"
12,dog,ear,"My dog keeps shaking its head and scratching ears",medium,"Possible ear infection. Avoid cleaning deeply. Vet check recommended.","Otitis externa","Ear drops, cleaning solution"
13,rabbit,digestion,"My rabbit is not eating and looks weak",high,"Rabbits must eat continuously. This is urgent. Vet visit needed.","GI stasis","Fluid therapy, syringe feeding"
14,fish,health,"My fish has white spots on its body",medium,"Common ito sa ich disease. Isolate fish and treat water.","Ich infection","Aquarium salt, medication"
15,dog,fever,"My dog feels very hot and weak",high,"Check temperature if possible. Bring to vet immediately.","Fever/infection","Antibiotics, fluids"
16,cat,respiratory,"My cat is sneezing a lot",low,"Monitor muna. If may discharge or worsening, consult vet.","Upper respiratory infection","Supportive care, meds if needed"
17,dog,injury,"My dog has a bleeding wound",high,"Apply pressure to stop bleeding. Dalhin agad sa clinic.","Open wound","Wound cleaning, suturing"
18,cat,behavior,"My cat is hiding and not socializing",low,"Observe muna. Could be stress or illness. If persists, consult vet.","Stress or illness","Behavior monitoring, checkup"
19,bird,digestion,"My bird is not eating seeds anymore",medium,"Try soft food muna. If tuloy-tuloy, vet check needed.","Nutritional deficiency","Diet adjustment, supplements"
20,dog,neurological,"My dog is having seizures",critical,"Emergency ito. Keep dog safe from injury and go to vet immediately.","Seizure disorder","Anti-seizure meds, diagnostics"
21,dog,injury,"My dog was hit by a car",critical,"This is a life-threatening emergency. Do not move your dog unnecessarily. Keep them warm and still. Rush to the nearest vet clinic immediately.","Trauma or internal injury","Emergency stabilization, imaging, surgery"
22,cat,injury,"My cat is bleeding from the mouth",high,"This could indicate internal injury, broken tooth, or ingested sharp object. Keep your cat calm and go to the vet immediately.","Oral injury or internal bleeding","Emergency exam, imaging, wound care"
23,dog,injury,"My dog swallowed something sharp",critical,"Do NOT induce vomiting. Sharp objects can cause more damage coming back up. Go to the vet immediately for X-ray.","Foreign body ingestion","X-ray, endoscopy, possible surgery"
24,rabbit,emergency,"My rabbit is not moving at all",critical,"This is very serious. Rabbits hide illness well. Keep warm and rush to vet immediately.","Shock, GI stasis, or organ failure","Emergency stabilization, fluid therapy"
25,hamster,emergency,"My hamster is cold and unresponsive",high,"Your hamster may be in torpor (hibernation-like state) or critically ill. Warm slowly with your hands. If no response in 30 min, see vet.","Torpor or hypothermia","Gradual warming, supportive care"
26,dog,behavior,"My dog keeps barking at night",low,"Night barking can be due to anxiety, boredom, or hearing noises. Ensure exercise during the day and a comfortable sleeping area.","Anxiety or boredom","Behavior training, enrichment"
27,cat,behavior,"My cat suddenly became aggressive",medium,"Sudden aggression may indicate pain, stress, or territorial issues. Avoid punishment. Observe for other symptoms and consult vet.","Pain, stress, or hormonal","Vet checkup, behavior consultation"
28,dog,behavior,"My dog is not eating but still active",low,"If your dog is active but not eating, it may be picky or have mild stomach upset. Monitor for 24 hours. Offer bland food.","Mild GI upset or pickiness","Monitor, bland diet"
29,dog,behavior,"My pet is hiding all the time",medium,"Hiding behavior can indicate stress, fear, pain, or illness. Create a safe space and monitor. If it persists, consult your vet.","Stress, pain, or illness","Environmental enrichment, vet checkup"
30,dog,behavior,"My dog is chewing everything",low,"Chewing is normal in puppies (teething) but in adults may indicate boredom, anxiety, or dental issues. Provide chew toys and exercise.","Boredom, anxiety, or teething","Chew toys, training, dental check"
31,cat,behavior,"My cat is not using the litter box",medium,"Litter box avoidance may be due to UTI, stress, dirty litter, or pain. Rule out medical causes first, then check environment.","UTI, stress, or territory marking","Vet exam, litter box management"
32,bird,injury,"My bird is not flying",medium,"A bird that cannot fly may have a wing injury, illness, or weakness. Keep in a safe cage and consult an avian vet.","Wing injury or illness","Avian vet exam, rest"
33,bird,skin,"My bird is losing feathers",medium,"Feather loss can be molting (normal) or stress/illness-related. Check for bald patches and skin irritation. Consult avian vet.","Molting, stress, or infection","Avian vet exam, diet review"
34,bird,digestion,"My bird is not eating",high,"Birds have fast metabolisms and not eating is dangerous. Offer soft food and consult an avian vet immediately.","Illness or GI issue","Syringe feeding, avian vet ASAP"
35,bird,respiratory,"My bird has breathing problems",critical,"Open-beak breathing in birds is a SEVERE emergency. Birds hide illness until critical. Rush to avian vet NOW.","Respiratory infection or air sac disease","Oxygen support, antibiotics, emergency care"
36,fish,behavior,"My fish is staying at the bottom",medium,"Bottom-sitting may indicate stress, illness, or poor water quality. Test water parameters immediately.","Stress or water quality issue","Water change, test parameters"
37,fish,skin,"My fish has white spots",medium,"White spots are commonly Ichthyophthirius (Ich disease). Isolate affected fish and treat the tank with aquarium salt or medication.","Ich disease","Aquarium salt, anti-parasitic medication"
38,fish,behavior,"My fish is not moving",high,"A fish that is not moving may be critically ill. Check water temperature, pH, and ammonia levels immediately.","Critical illness or water toxicity","Emergency water change, test parameters"
39,fish,respiratory,"My fish is gasping at the surface",high,"Gasping at the surface indicates low oxygen or ammonia poisoning. Do an immediate partial water change and add an air pump.","Low oxygen or ammonia poisoning","Water change, aeration"
40,dog,skin,"My dog has ticks",medium,"Remove visible ticks carefully with tweezers (grasp close to skin). Use vet-approved tick prevention product. Check for tick-borne diseases.","Tick infestation","Tick removal, preventive treatment"
41,dog,eyes,"My dog has swollen eyes",medium,"Swollen eyes could be an allergic reaction, infection, or injury. Clean gently. If swelling worsens, visit the vet.","Allergy or infection","Anti-histamines (vet-prescribed), exam"
42,cat,skin,"My cat has hair loss",medium,"Hair loss in cats can be from over-grooming (stress), allergies, ringworm, or parasites. Check for patterns and see vet.","Stress, allergy, or ringworm","Vet exam, skin scraping test"
43,cat,digestion,"My cat is vomiting hairballs",low,"Occasional hairballs are normal for cats. If frequent, try a hairball-prevention diet and regular brushing. See vet if daily.","Normal grooming or GI issue","Hairball diet, brushing"
44,cat,respiratory,"My cat is breathing fast",high,"Rapid breathing in cats is concerning. Could be respiratory infection, heart disease, or pain. Keep calm and see vet today.","Heart disease or respiratory infection","Vet exam, chest X-ray"
45,cat,skin,"My cat has fleas",medium,"Fleas cause itching and can transmit diseases. Use vet-approved flea treatment on ALL pets. Wash bedding in hot water.","Flea infestation","Flea treatment, environmental cleaning"
46,general,vaccination,"When should my pet get vaccinated?",low,"Puppies/kittens start vaccines at 6-8 weeks. Adult pets need annual boosters. Ask your vet for a personalized schedule.","N/A","Consult vet for schedule"
47,dog,vaccination,"What vaccines does my dog need?",low,"Core vaccines for dogs: Rabies, Distemper, Parvovirus, Hepatitis. Non-core: Bordetella, Leptospirosis. Your vet will advise based on lifestyle.","N/A","Consult vet"
48,general,vaccination,"Is my pet due for vaccination?",low,"Check your pet's vaccination card or ask your vet. Generally, vaccines are given annually or every 3 years depending on type.","N/A","Vet consultation"
49,general,vaccination,"How often should I deworm my pet?",low,"Puppies/kittens: every 2-4 weeks until 12 weeks, then monthly until 6 months. Adults: every 3-6 months.","N/A","Deworming medication"
50,cat,vaccination,"Do indoor cats need vaccines?",low,"Yes! Indoor cats still need core vaccines (Rabies, FVRCP). They can be exposed through windows, visitors, or escaped moments.","N/A","Core vaccine series"
51,dog,nutrition,"What should I feed my dog?",low,"Feed age-appropriate commercial dog food. Puppies need puppy formula, adults need adult food. Avoid table scraps and toxic foods.","N/A","Quality commercial diet"
52,cat,nutrition,"Can my cat eat human food?",low,"Most human food is not suitable for cats. Avoid onions, garlic, chocolate, grapes, and dairy. Plain cooked chicken or fish is okay in small amounts.","N/A","Cat-appropriate diet"
53,dog,nutrition,"Is chocolate dangerous for dogs?",high,"YES. Chocolate is TOXIC to dogs. Dark chocolate is most dangerous. If ingested, go to the vet IMMEDIATELY. Do not wait for symptoms.","Chocolate toxicity","Induced vomiting, activated charcoal, emergency care"
54,bird,nutrition,"What food is safe for birds?",low,"Safe foods: seeds, pellets, fruits (apple, banana), vegetables (carrot, broccoli). Avoid avocado, chocolate, caffeine, and alcohol.","N/A","Balanced pellet-based diet"
55,general,nutrition,"How often should I feed my pet?",low,"Puppies: 3-4 times/day. Adult dogs: 2 times/day. Kittens: 3-4 times/day. Adult cats: 2 times/day. Always provide fresh water.","N/A","Regular feeding schedule"
56,general,reproduction,"Is my dog pregnant?",medium,"Signs of pregnancy: enlarged belly, increased appetite, nesting behavior. A vet can confirm via ultrasound after 25 days.","Possible pregnancy","Vet ultrasound confirmation"
57,general,reproduction,"How long is pet pregnancy?",low,"Dogs: approximately 63 days (9 weeks). Cats: approximately 63-65 days. Rabbits: 28-33 days.","N/A","Prenatal vet care"
58,general,reproduction,"My pet is in heat, what should I do?",medium,"Keep your pet indoors and away from other animals. Use pet diapers if needed. Consider spaying/neutering to prevent unwanted pregnancies.","Normal reproductive cycle","Spaying/neutering consultation"
59,general,reproduction,"When should I spay or neuter my pet?",low,"Generally recommended at 6 months of age. Discuss timing with your vet based on breed and health status.","N/A","Vet consultation for surgery schedule"
60,general,clinic,"Can I reschedule my appointment?",low,"Yes! Log in to your VetSync account, go to Dashboard, and click 'Manage Appointments' to reschedule or cancel.","N/A","Use dashboard"
61,general,clinic,"How much is a consultation?",low,"Consultation fees vary by service. Please contact our clinic at (02) 8123-4567 or check the booking page for current pricing.","N/A","Call clinic or check website"
62,general,clinic,"Is the clinic open today?",low,"VetSync Clinic is open Monday-Saturday, 8:00 AM - 6:00 PM. Closed on Sundays and holidays. For emergencies: (02) 8123-4567.","N/A","Check schedule"
63,general,medication,"What medicine can I give my dog?",medium,"NEVER give human medication to pets without vet approval. Paracetamol and ibuprofen are TOXIC to pets. Always consult your vet first.","N/A","Vet-prescribed medication only"
64,general,medication,"Can I give human medicine to pets?",high,"NO. Most human medications are dangerous or fatal to pets. Paracetamol, ibuprofen, and aspirin can be toxic. Always consult your vet.","Potential poisoning","Emergency vet if already given"
65,general,medication,"How do I treat wounds at home?",medium,"For minor wounds: clean with saline or clean water, apply pet-safe antiseptic, and bandage loosely. For deep wounds, see vet immediately.","Minor wound","Cleaning, antiseptic, vet for serious wounds"
66,general,medication,"What should I do for infections?",medium,"Signs of infection: redness, swelling, discharge, warmth, or bad smell. Do not self-treat with antibiotics. Visit your vet for proper diagnosis.","Possible infection","Vet-prescribed antibiotics"
67,general,medication,"Is this medication safe for my pet?",medium,"Always verify medications with your vet. Even 'pet-safe' medications can have wrong dosages. When in doubt, call your vet.","N/A","Vet consultation"
68,dog,emergency,"My dog can't stand up suddenly",critical,"This could indicate spinal injury, poisoning, or severe weakness. Do not force movement. Support with a towel sling and rush to vet.","Spinal injury or poisoning","Emergency stabilization, imaging"
69,fish,behavior,"My fish flips upside down",medium,"Upside-down swimming is a classic sign of swim bladder disease. Fast the fish for 24-48 hours, then feed peeled peas. Check water quality.","Swim bladder disorder","Diet change, water treatment"
70,general,weight,"My pet is losing weight",medium,"Unexplained weight loss can indicate parasites, diabetes, kidney disease, or cancer. Monitor food intake and see vet for tests.","Various possible causes","Blood work, vet exam"
